"subjectID" "window" "condition" "entertime" "actual" "optimal"
14 "9" "sad" 7.1292232735681 32.1259232314573 26.338234694817
14 "9" "sad" 39.969038106551 68.2483109622557 71.5707693306185
14 "9" "sad" 75.5500571288849 103.34392494306 88.1371389069591
14 "9" "sad" 126.588294993336 154.452534122623 149.310459944124
14 "9" "sad" 156.652979984514 177.630435734155 204.430399207893
14 "9" "sad" 181.142865983334 198.965020519609 204.430399207893
14 "9" "sad" 205.679828296382 230.140707009571 235.335917541209
14 "9" "sad" 243.366950072222 269.427401337586 265.641720537872
14 "9" "sad" 292.390115872774 300.009356760453 300.009356760453
15 "9" "excited" 7.78137251202574 9.25883082756133 20.9825652001322
15 "9" "excited" 10.7213218280639 12.5013649049034 20.9825652001322
15 "9" "excited" 13.4485123095012 22.1871400389714 20.9825652001322
