"subjectID" "window" "condition" "entertime" "actual" "optimal"
8 "9" "sad" 72.108905287085 118.277929601125 119.82728080913
8 "9" "sad" 132.452565962155 167.222013798433 168.037474020397
8 "9" "sad" 179.223022040967 218.142234947679 219.197914990665
8 "9" "sad" 225.472566897949 264.306340004136 265.825481669758
8 "9" "sad" 275.940602440007 300.022114924555 300.022114924555
10 "9" "sad" 4.999430973458 47.3817606617009 34.747961390719
10 "9" "sad" 58.829188797573 100.130955496691 84.8874085142672
10 "9" "sad" 102.670917310029 135.544760352283 119.571776887259
10 "9" "sad" 143.154563004219 188.489338374576 192.131349438143
10 "9" "sad" 194.404347543903 229.113096213785 232.290198404613
10 "9" "sad" 234.005483483891 274.201220463825 275.430927573638
10 "9" "sad" 295.711681345136 300.016800923725 300.016800923725
11 "9" "excited" 20.8304829178836 63.7270200064902 39.2979332412627
11 "9" "excited" 65.5142991691005 114.143332503189 115.311677118945
11 "9" "excited" 117.627893469779 173.689396031908 179.287494547458
11 "9" "excited" 182.150768185832 243.65035477371 203.942654501272
11 "9" "excited" 269.442219354449 300.001227708725 295.013230999117
12 "9" "sad" 11.8369462418175 48.0678997978993 31.6224028399752
12 "9" "sad" 57.4726970859162 101.135924569196 82.1098425606868
12 "9" "sad" 109.977021195669 167.558522717839 139.008204775252
12 "9" "sad" 173.391409135435 220.067569554186 201.561307149293
12 "9" "sad" 224.013036174365 269.027269255789 250.41986141235
12 "9" "sad" 282.184882746879 300.020837955689 296.924704735254
13 "9" "excited" 15.8051728431771 46.9673083918332 51.5054981080302
13 "9" "excited" 52.973003168125 95.8303660022006 94.227626230686
13 "9" "excited" 123.015712933768 156.913073232136 158.699215289108
13 "9" "excited" 162.554403452185 211.807492713614 204.963540451326
13 "9" "excited" 215.81805785941 250.285079022002 233.471771689732
13 "9" "excited" 253.605828202802 287.116796495894 288.61602053923
13 "9" "excited" 299.433089170869 300.014792532342 300.014792532342
14 "9" "sad" 5.52625981643289 27.8336213675614 31.4428293061369
14 "9" "sad" 38.3654884180053 62.4714133701212 68.2251246345487
14 "9" "sad" 69.8902268099744 90.5402403186539 96.598601738469
14 "9" "sad" 94.2809868731859 118.158597633038 96.598601738469
14 "9" "sad" 129.594030522069 151.931076754959 155.460975613437
14 "9" "sad" 168.230700775957 192.427885536959 197.765887490057
14 "9" "sad" 209.44906231652 237.837721364995 240.837868375653
14 "9" "sad" 251.507678514558 285.549904684569 290.98293619828
14 "9" "sad" 291.882796583436 300.007431434018 300.007431434018
15 "9" "excited" 2.98377962287389 43.2121442274167 16.3766038726894
15 "9" "excited" 59.2978025378205 106.691123363676 94.7389437872904
15 "9" "excited" 109.098683092416 157.835374326264 158.724318490892
15 "9" "excited" 164.71550237949 212.601051111108 200.139476587723
15 "9" "excited" 220.534256350966 300.012834905824 263.005736132473
16 "9" "sad" 14.8240323965834 59.0104781756244 39.0612603937278
16 "9" "sad" 61.5973317797141 72.4627323070793 72.9581229180471
16 "9" "sad" 77.4507309003696 94.5448889801204 90.1588790999473
16 "9" "sad" 110.670709799725 141.993447027269 123.493616828594
16 "9" "sad" 152.454381402453 195.337987952407 193.829892881778
16 "9" "sad" 205.864229577429 238.797562709516 235.416290361775
16 "9" "sad" 247.612295427137 285.151548512616 282.313401324299
16 "9" "sad" 288.861372689004 300.026047372306 300.026047372306
17 "9" "excited" 2.75848485900453 28.2208848082905 20.6141159992091
17 "9" "excited" 45.7372861069311 77.7869716348773 78.6207767391806
17 "9" "excited" 80.746388665422 117.50456984419 102.975085542134
17 "9" "excited" 128.192841478011 160.813237560355 146.382839953573
17 "9" "excited" 166.477616562949 195.525964811128 198.020413892616
17 "9" "excited" 211.319500286021 239.211777118026 240.666373451223
17 "9" "excited" 242.317793216701 263.627653013634 264.458532403376
17 "9" "excited" 272.161188699835 300.021470736062 290.338908049187
18 "9" "sad" 11.6572553245761 38.4740808493361 43.3148511563813
